iter	Passed	Remaining
933	62452	4413
934	62518	4346
935	62584	4279
936	62655	4212
937	62719	4145
938	62787	4078
939	62852	4011
940	62920	3945
941	62987	3878
942	63052	3811
943	63118	3744
944	63182	3677
945	63247	3610
946	63323	3543
947	63391	3477
948	63458	3410
949	63546	3344
950	63646	3279
951	63714	3212
952	63795	3146
953	63861	3079
954	63928	3012
955	63989	2945
956	64056	2878
957	64123	2811
958	64189	2744
959	64255	2677
960	64320	2610
961	64401	2543
962	64467	2476
963	64533	2409
964	64598	2342
965	64669	2276
966	64734	2209
967	64799	2142
968	64866	2075
969	64926	2008
970	64992	1941
971	65057	1874
972	65122	1807
973	65197	1740
974	65265	1673
975	65334	1606
976	65398	1539
977	65481	1472
978	65547	1406
979	65613	1339
980	65682	1272
981	65749	1205
982	65813	1138
983	65875	1071
984	65938	1004
985	66005	937
986	66071	870
987	66136	803
988	66210	736
989	66278	669
990	66344	602
991	66419	535
992	66492	468
993	66564	401
994	66631	334
995	66699	267
996	66766	200
997	66833	133
998	66899	66
999	66962	0
